time,mean_beta,mean_beta_equilibrium,mean_stimulus,mean_strain_energy,mean_sigma_xx,orientation_coherence,mean_orientation_angle_deg,mean_target_alignment
1.020000000000000107e+01,6.472272604236093407e-01,8.190631399125902767e-01,4.062756607635740758e-01,1.177261048531609733e+00,1.111179163817208249e+01,8.367109575158847568e-01,9.459419321644393364e+00,9.665375475306950959e-01
1.030000000000000071e+01,6.497855633758022886e-01,8.190631399125902767e-01,4.062756607635740758e-01,1.180750775123061702e+00,1.118742134981645187e+01,8.352933052236735101e-01,9.275988801928850336e+00,9.678182373413505291e-01
1.040000000000000036e+01,6.523057781591291571e-01,8.190631399125902767e-01,4.062756607635740758e-01,1.184181108513367553e+00,1.126177384907948742e+01,8.338953605442455119e-01,9.096134176797395554e+00,9.690506827676645951e-01
1.050000000000000000e+01,6.547884718325485132e-01,8.190631399125902767e-01,4.062756607635740758e-01,1.187551700429209101e+00,1.133483460976183999e+01,8.325171139304606838e-01,8.919784847508479331e+00,9.702366362013040701e-01
1.060000000000000142e+01,6.572342030126110402e-01,8.190631399125902767e-01,4.062756607635740758e-01,1.190862309495470450e+00,1.140659193298941609e+01,8.311585388935245344e-01,8.746871648604926719e+00,9.713777916841878080e-01
1.070000000000000107e+01,6.596435219991499954e-01,8.190631399125902767e-01,4.062756607635740758e-01,1.194112796247072339e+00,1.147703683734573588e+01,8.298195931096988831e-01,8.577326817364852474e+00,9.724757864149153885e-01
1.080000000000000071e+01,6.620169708991020530e-01,8.190631399125902767e-01,4.062756607635740758e-01,1.197303118030136337e+00,1.154616294296668855e+01,8.285002194705727296e-01,8.411083963937031172e+00,9.735322022547044929e-01
1.090000000000000036e+01,6.643550837484825111e-01,8.190631399125902767e-01,4.062756607635740758e-01,1.200433323831474830e+00,1.161396635086559925e+01,8.272003470795037394e-01,8.248078042145973399e+00,9.745485672285546519e-01
1.100000000000000000e+01,6.666583866325465069e-01,8.190631399125902767e-01,4.062756607635740758e-01,1.203503549072523438e+00,1.168044551868129588e+01,8.259198921967325635e-01,8.088245320952182738e+00,9.755263570178173138e-01
1.110000000000000142e+01,6.689273978041602176e-01,8.190631399125902767e-01,4.062756607635740758e-01,1.206514010400850712e+00,1.174560113396117167e+01,8.246587591355659663e-01,7.931523356553192627e+00,9.764669964407999281e-01
1.120000000000000107e+01,6.711626278004094726e-01,8.190631399125902767e-01,4.062756607635740758e-01,1.209465000509401200e+00,1.180943598600671862e+01,8.234168411119209274e-01,7.777850965111227310e+00,9.773718609184208761e-01
1.130000000000000071e+01,6.733645795574735304e-01,8.190631399125902767e-01,4.062756607635740758e-01,1.212356883010610842e+00,1.187195483722247680e+01,8.221940210494260715e-01,7.627168196093601971e+00,9.782422779222984532e-01
1.140000000000000036e+01,6.755337485237873363e-01,8.190631399125902767e-01,4.062756607635740758e-01,1.215190087389618423e+00,1.193316429482202956e+01,8.209901723421814124e-01,7.479416306211978061e+00,9.790795284029978340e-01
1.150000000000000000e+01,6.776706227715195707e-01,8.190631399125902767e-01,4.062756607635740758e-01,1.217965104057904480e+00,1.199307268365804369e+01,8.198051595771818079e-01,7.334537733947140481e+00,9.798848481964550494e-01
1.160000000000000142e+01,6.797756831063908045e-01,8.190631399125902767e-01,4.062756607635740758e-01,1.220682479525941222e+00,1.205168992085820001e+01,8.186388392183292506e-01,7.192476074645857587e+00,9.806594294068808892e-01
1.170000000000000107e+01,6.818494031758572937e-01,8.190631399125902767e-01,4.062756607635740758e-01,1.223342811710790068e+00,1.210902739286641427e+01,8.174910602538640880e-01,7.053176056176851283e+00,9.814044217646987756e-01
1.180000000000000071e+01,6.838922495756832864e-01,8.190631399125902767e-01,4.062756607635740758e-01,1.225946745392082260e+00,1.216509783540944589e+01,8.163616648089740968e-01,6.916583515133015503e+00,9.821209339583014675e-01
1.190000000000000036e+01,6.859046819549269314e-01,8.190631399125902767e-01,4.062756607635740758e-01,1.228494967827473250e+00,1.221991521683352921e+01,8.152504887252521870e-01,6.782645373567306457e+00,9.828100349386189594e-01
1.200000000000000000e+01,6.878871531193636590e-01,8.190631399125902767e-01,4.062756607635740758e-01,1.230988204536461073e+00,1.227349462518460399e+01,8.141573621086084511e-01,6.651309616249937662e+00,9.834727551956804481e-01
1.210000000000000142e+01,6.898401091333691282e-01,8.190631399125902767e-01,4.062756607635740758e-01,1.233427215259449650e+00,1.232585215933899114e+01,8.130821098471596731e-01,6.522525268434791634e+00,9.841100880065229983e-01
1.220000000000000107e+01,6.917639894202853856e-01,8.190631399125902767e-01,4.062756607635740758e-01,1.235812790097059910e+00,1.237700482442979499e+01,8.120245521005559075e-01,6.396242374123146668e+00,9.847229906539569644e-01
1.230000000000000071e+01,6.936592268612935541e-01,8.190631399125902767e-01,4.062756607635740758e-01,1.238145745833008737e+00,1.242697043175722804e+01,8.109845047621417891e-01,6.272411974813089763e+00,9.853123856158322313e-01
1.240000000000000036e+01,6.955262478928136982e-01,8.190631399125902767e-01,4.062756607635740758e-01,1.240426922442345425e+00,1.247576750331924700e+01,8.099617798952702952e-01,6.150986088723239043e+00,9.858791617245802330e-01
